Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
07EA001,"FINLAY RIVER AT WARE",BC,Discontinued,57.42083,-125.62639,1961,1983,"11100",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EA002,"KWADACHA RIVER NEAR WARE",BC,Discontinued,57.45000,-125.63750,1961,1998,"2410",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EA004,"INGENIKA RIVER ABOVE SWANNELL RIVER",BC,Active,56.73061,-125.10500,1977,2024,"4140",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EA005,"FINLAY RIVER ABOVE AKIE RIVER",BC,Active,57.12622,-125.24992,1978,2024,"15600",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EA006,"WILLISTON LAKE AT INGENIKA POINT",BC,Discontinued,56.78861,-124.87417,1980,1983,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EA007,"AKIE RIVER NEAR THE 760 M CONTOUR",BC,Active,57.19111,-124.90111,1981,2024,"1690",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EB001,"FINLAY RIVER AT FINLAY FORKS",BC,Discontinued,56.03194,-123.90556,1945,1967,"43300",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EB002,"OSPIKA RIVER ABOVE ALEY CREEK",BC,Active,56.52411,-123.93603,1981,2024,"2190",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EC001,"OMINECA RIVER NEAR GERMANSEN LANDING",BC,Discontinued,55.78889,-124.68056,1961,1970,"5080",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EC002,"OMINECA RIVER ABOVE OSILINKA RIVER",BC,Active,55.91686,-124.56758,1975,2024,"5560",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07EC003,"MESILINKA RIVER ABOVE GOPHERHOLE CREEK",BC,Active,56.24500,-124.64467,1976,2024,"3060",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EC004,"OSILINKA RIVER NEAR END LAKE",BC,Active,56.12694,-124.80192,1981,2024,"1950",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07ED001,"NATION RIVER NEAR FORT ST. JAMES",BC,Active,55.20000,-124.23333,1967,2024,"4350",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07ED002,"WILLISTON LAKE AT NATION ARM",BC,Discontinued,55.50389,-123.41972,1980,1995,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07ED003,"NATION RIVER NEAR THE MOUTH",BC,Active,55.42722,-123.63336,1981,2024,"6790",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EE002,"PARSNIP RIVER NEAR FINLAY FORKS",BC,Discontinued,55.84778,-123.76194,1961,1968,"20300",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EE003,"PARSNIP RIVER AT PACIFIC GREAT EASTERN RAILWAY BRIDGE",BC,Discontinued,54.85833,-122.61528,1960,1966,"4010",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EE004,"CHICHOUYENILY CREEK NEAR MACKENZIE",BC,Discontinued,55.31944,-123.09722,1968,1968,"72.3",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EE005,"MORFEE CREEK AT OUTLET OF MORFEE LAKE",BC,Discontinued,55.36111,-123.09722,1965,1967,"23.3",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EE007,"PARSNIP RIVER ABOVE MISINCHINKA RIVER",BC,Active,55.08194,-122.91306,1967,2024,"4930",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07EE008,"WILLISTON LAKE NEAR MACKENZIE",BC,Discontinued,55.33944,-123.18806,1969,1975,"",,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,VANCOUVER,"",N
07EE009,"CHUCHINKA CREEK NEAR THE MOUTH",BC,Active,54.52972,-122.61222,1975,2024,"310",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07EE010,"PACK RIVER AT OUTLET OF MCLEOD LAKE",BC,Active,54.99850,-123.03656,1981,2024,"3710",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EE011,"MCLEOD RIVER AT OUTLET OF CARP LAKE",BC,Discontinued,54.81111,-123.32083,1981,1985,"487",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EF001,"PEACE RIVER AT HUDSON HOPE",BC,Discontinued,56.02700,-121.90867,1952,2019,"73100",,R,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07EF002,"WILLISTON LAKE AT LOST CABIN CREEK",BC,Active,56.04997,-123.74819,1978,2024,"",,R,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EF003,"WILLISTON LAKE NEAR SCHOOLER CREEK",BC,Active,56.10639,-122.71611,1980,2024,"",,R,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EF004,"CARBON CREEK NEAR THE MOUTH",BC,Active,55.94611,-122.65889,1998,2024,"741",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07EFX01,"PEACE RIVER AT HUDSON HOPE (AUXILIARY GAUGE)",BC,Discontinued,56.02750,-121.89889,2011,2019,"73100",,R,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FA001,"HALFWAY RIVER NEAR FARRELL CREEK (LOWER STATION)",BC,Discontinued,56.22778,-121.48056,1965,1983,"9400",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FA003,"HALFWAY RIVER ABOVE GRAHAM RIVER",BC,Active,56.50894,-122.24322,1977,2024,"3780",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FA004,"PEACE RIVER ABOVE PINE RIVER",BC,Active,56.19933,-120.81450,1979,2024,"87200",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FA005,"GRAHAM RIVER ABOVE COLT CREEK",BC,Active,56.45986,-122.35453,1981,2024,"2140",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FA006,"HALFWAY RIVER NEAR FARRELL CREEK",BC,Active,56.25075,-121.62853,1983,2024,"9340",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FA007,"CYPRESS CREEK NEAR THE MOUTH",BC,Discontinued,56.82333,-122.62472,1998,2001,"",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FA008,"CAMERON RIVER AT UPPER HALFWAY ROAD",BC,Active,56.52789,-121.80345,2024,2024,"1610",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FAX04,"PEACE RIVER ABOVE PINE RIVER (AUXILIARY GAUGE)",BC,Active,56.19917,-120.81444,2020,2024,"87200",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FAX05,"GRAHAM RIVER ABOVE COLT CREEK (AUXILIARY GAUGE)",BC,Active,56.45986,-122.35453,2020,2024,"",,,Flow and Level,Continuous,N,N,Y,,VANCOUVER,"",N
07FAX06,"HALFWAY RIVER NEAR FARRELL CREEK (AUXILIARY STATION)",BC,Active,56.25075,-121.62850,2016,2024,"9340",,,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB001,"PINE RIVER AT EAST PINE",BC,Active,55.71844,-121.21156,1964,2024,"12100",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB002,"MURRAY RIVER NEAR THE MOUTH",BC,Active,55.55247,-121.20350,1977,2024,"5550",,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB003,"SUKUNKA RIVER NEAR THE MOUTH",BC,Active,55.54217,-121.62756,1977,2024,"2590",,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB004,"DICKEBUSCH CREEK NEAR THE MOUTH",BC,Active,55.53778,-121.59681,1978,2024,"82.4",,N,Flow and Level,Continuous,Y,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB005,"QUALITY CREEK NEAR THE MOUTH",BC,Discontinued,55.14583,-120.92333,1978,2001,"29.5",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FB006,"MURRAY RIVER ABOVE WOLVERINE RIVER",BC,Active,55.06136,-121.01378,1977,2024,"2370",,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB007,"SUKUNKA RIVER ABOVE CHAMBERLAIN CREEK",BC,Discontinued,55.18778,-121.76111,1977,1985,"927",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FB008,"MOBERLY RIVER NEAR FORT ST. JOHN",BC,Active,56.09250,-121.36678,1980,2024,"1520",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB009,"FLATBED CREEK AT KILOMETRE 110 HERITAGE HIGHWAY",BC,Active,55.09017,-120.94183,1983,2024,"486",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FB010,"PINE RIVER ABOVE MOUNTAIN CREEK",BC,Discontinued,55.50833,-122.57472,1989,1989,"677",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FB011,"WINDREM CREEK NEAR CHETWYND",BC,Discontinued,55.69583,-121.63000,1986,1998,"22.9",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FBX08,"MOBERLY RIVER NEAR FORT ST. JOHN (AUXILIARY STATION)",BC,Active,56.09250,-121.36678,2016,2024,"1520",,,Flow and Level,Continuous,N,N,Y,,VANCOUVER,"",N
07FC001,"BEATTON RIVER NEAR FORT ST. JOHN",BC,Active,56.27844,-120.69986,1966,2024,"15600",,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FC002,"ST. JOHN CREEK NEAR MONTNEY",BC,Discontinued,56.42417,-120.92500,1962,1974,"201",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FC003,"BLUEBERRY RIVER BELOW AITKEN CREEK",BC,Active,56.67764,-121.22233,1964,2024,"1770",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
07FC004,"STODDART CREEK AT OUTLET OF CHARLIE LAKE",BC,Discontinued,56.27444,-120.94750,1968,1994,"298",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FC005,"CHARLIE LAKE NEAR FORT ST. JOHN",BC,Discontinued,56.28056,-120.95694,1972,1992,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
07FC006,"OSBORNE CREEK NEAR THE MOUTH",BC,Discontinued,56.60083,-120.37972,1981,1982,"120",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FC007,"NIG CREEK NEAR NIG STATION",BC,Discontinued,57.13389,-121.51333,1983,1983,"212",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FC008,"BEATTON RIVER AT TOMMY LAKES ROAD",BC,Active,57.28707,-121.71873,2024,2024,"1850",,N,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FD001,"KISKATINAW RIVER NEAR FARMINGTON",BC,Active,55.95736,-120.56436,1948,2024,"3630",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FD002,"PEACE RIVER NEAR TAYLOR",BC,Active,56.13939,-120.67242,1949,2024,"101000",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FD004,"ALCES RIVER AT 22ND BASE LINE",BC,Discontinued,56.33422,-120.15514,1984,2016,"295",,N,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FD005,"ALCES RIVER AT SECTION 20",BC,Discontinued,56.38556,-120.17583,1963,1963,"229",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
07FD007,"POUCE COUPE RIVER BELOW HENDERSON CREEK",BC,Active,55.86519,-120.03042,1971,2024,"2860",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FD010,"PEACE RIVER ABOVE ALCES RIVER",BC,Active,56.12692,-120.05747,1974,2024,"121000",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07FD015,"DAWSON CREEK ABOVE SOUTH DAWSON CREEK",BC,Discontinued,55.76194,-120.25000,1981,1995,"116",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FD016,"SOUTH DAWSON CREEK AT THE MOUTH",BC,Discontinued,55.75639,-120.25000,1981,1985,"85.2",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FD017,"SWAN LAKE AT THE OUTLET",BC,Discontinued,55.52694,-120.02694,1987,1988,"",,R,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"B.C. MINISTRY OF ENVIRONMENT",Y
07FD018,"TUPPER CREEK BELOW SWAN LAKE",BC,Discontinued,55.49667,-120.03556,1989,1989,"",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FD019,"KISKATINAW RIVER BELOW BORDEN CREEK",BC,Active,55.19281,-120.27350,2016,2024,"",,N,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
07FDX02,"PEACE RIVER NEAR TAYLOR (AUXILIARY GAUGE)",BC,Active,56.13583,-120.67028,2011,2024,"101000",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
07GC001,"WAPITI RIVER ABOVE MISTANUSK CREEK",BC,Discontinued,54.69861,-120.05833,1982,1982,"2400",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08BB001,"TAKU RIVER NEAR TULSEQUAH",BC,Discontinued,58.63889,-133.54028,1966,1987,"15500",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08BB002,"SLOKO RIVER NEAR ATLIN",BC,Discontinued,59.10556,-133.66111,1964,1979,"427",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08BB003,"SLOKO LAKE NEAR ATLIN",BC,Discontinued,59.11111,-133.66389,1954,1979,"",,N,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08BB004,"NAKONAKE RIVER (WEST FORK) NEAR ATLIN",BC,Discontinued,59.00139,-133.45972,1955,1955,"194",,N,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CA001,"SPATSIZI RIVER NEAR THE MOUTH",BC,Discontinued,57.67028,-128.10333,1980,1995,"3400",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CA002,"STIKINE RIVER BELOW SPATSIZI RIVER",BC,Discontinued,57.73306,-128.10833,1980,1995,"7690",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CA003,"PITMAN RIVER NEAR THE MOUTH",BC,Discontinued,57.98194,-128.42944,1980,1995,"2730",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CB001,"STIKINE RIVER ABOVE GRAND CANYON",BC,Discontinued,58.04389,-129.94583,1965,1995,"18800",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CB002,"TANZILLA RIVER NEAR TELEGRAPH CREEK",BC,Discontinued,58.29361,-130.51222,1958,1968,"1600",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CC001,"KLAPPAN RIVER NEAR TELEGRAPH CREEK",BC,Discontinued,57.90000,-129.70389,1965,1995,"3550",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CC002,"UNNAMED CREEK AT SITE NO. 10",BC,Discontinued,57.21722,-129.10778,1986,1998,"29.2",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CC003,"KLAPPAN RIVER AT HEADWATERS PLATEAU",BC,Discontinued,57.25000,-129.05333,1987,1998,"16.6",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CD001,"TUYA RIVER NEAR TELEGRAPH CREEK",BC,Active,58.07225,-130.82645,1965,2024,"3550",,N,Flow and Level,Continuous,Y,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
08CE001,"STIKINE RIVER AT TELEGRAPH CREEK",BC,Active,57.90027,-131.15972,1965,2024,"29000",,N,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08CE004,"CHUTINE RIVER BELOW BARRINGTON RIVER",BC,Discontinued,57.69583,-131.71111,1990,1995,"",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CE005,"TAHLTAN RIVER AT THE MOUTH",BC,Active,58.01327,-130.97757,2021,2024,"",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08CF001,"STIKINE RIVER ABOVE BUTTERFLY CREEK",BC,Discontinued,57.48611,-131.75000,1971,1995,"36000",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CF002,"STIKINE RIVER ABOVE CHOQUETTE RIVER",BC,Discontinued,56.83000,-131.76583,1983,1984,"",,N,Level,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CG001,"ISKUT RIVER BELOW JOHNSON RIVER",BC,Active,56.73444,-131.66899,1965,2024,"9500",,N,Flow and Level,Continuous,Y,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
08CG002,"KINASKAN LAKE NEAR TELEGRAPH CREEK",BC,Discontinued,57.53556,-130.21028,1964,1980,"",,N,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CG003,"ISKUT RIVER AT OUTLET OF KINASKAN LAKE",BC,Discontinued,57.53056,-130.17917,1964,1998,"1250",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CG004,"ISKUT RIVER ABOVE SNIPPAKER CREEK",BC,Discontinued,56.69861,-130.87306,1967,1995,"7230",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CG005,"MORE CREEK NEAR THE MOUTH",BC,Discontinued,57.04083,-130.40139,1974,1994,"844",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CG006,"FORREST KERR CREEK ABOVE 460 M CONTOUR",BC,Discontinued,56.91556,-130.72083,1972,1994,"311",,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08CG007,"ISKUT RIVER ABOVE FORREST KERR CREEK",BC,Discontinued,56.74167,-130.61389,1981,1985,"6290",,N,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA003,"MEZIADIN RIVER AT OUTLET OF MEZIADIN LAKE",BC,Discontinued,56.04167,-129.19722,1957,1957,"521",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA005,"SURPRISE CREEK NEAR THE MOUTH",BC,Active,56.10934,-129.47740,1967,2024,"218",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
08DA006,"BOWSER RIVER AT BERENDON GLACIER",BC,Discontinued,56.25556,-130.06528,1973,1973,"",,N,Flow,Miscellaneous,Y,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA007,"SPILL CREEK AT OUTLET OF SUMMIT LAKE",BC,Discontinued,56.23833,-130.07333,1967,1974,"120",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA008,"BOWSER RIVER BELOW BETTY CREEK",BC,Discontinued,56.26778,-130.05889,1982,1983,"",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA009,"CRAVEN CREEK NEAR THE MOUTH",BC,Discontinued,56.96806,-129.46583,1986,1998,"118",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA010,"BELL-IRVING RIVER BELOW BOWSER RIVER",BC,Discontinued,56.27917,-129.14444,1989,1998,"5160",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA011,"CRASH CREEK NEAR STEWART",BC,Discontinued,56.29444,-129.24167,1997,1999,"",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DA012,"KELLY CREEK NEAR STEWART",BC,Active,56.29252,-129.22950,1999,2024,"8.64",,N,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08DB001,"NASS RIVER ABOVE SHUMAL CREEK",BC,Active,55.26225,-129.08503,1929,2024,"18400",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
08DB002,"UNION CREEK NEAR PORT SIMPSON",BC,Discontinued,54.66250,-130.26250,1929,1931,"60.3",,N,Flow,Continuous,N,N,N,,VANCOUVER,"",N
08DB003,"FIVE HUNDRED CREEK NEAR KINCOLITH",BC,Discontinued,54.99833,-129.96000,1947,1948,"",,N,Flow,Miscellaneous,N,N,N,,VANCOUVER,"",N
08DB004,"SAWMILL CREEK NEAR KINCOLITH",BC,Discontinued,54.99833,-129.96333,1948,1948,"",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DB008,"NASS RIVER AT DAMSITE",BC,Discontinued,55.40417,-129.00833,1956,1957,"17300",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08DB009,"LIME CREEK BELOW PATSY CREEK",BC,Discontinued,55.42778,-129.43611,1965,1966,"26.9",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DB010,"LIME CREEK NEAR THE MOUTH",BC,Discontinued,55.45500,-129.48000,1976,1998,"39.4",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DB011,"KITSAULT RIVER ABOVE KLAYDUC CREEK",BC,Discontinued,55.56111,-129.50306,1981,1998,"242",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DB012,"PATSY CREEK NEAR THE MOUTH",BC,Discontinued,55.41889,-129.41583,1987,1998,"4.68",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DB013,"ANSEDAGAN CREEK NEAR NEW AIYANSH",BC,Active,55.12986,-129.35494,1997,2024,"26.0",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
08DB014,"KSEDIN TRIBUTARY NO. 2 CREEK NEAR NEW AIYANSH",BC,Discontinued,55.01817,-129.34447,1997,2017,"18.0",,N,Flow and Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DC001,"AMERICAN CREEK NEAR STEWART",BC,Discontinued,56.10667,-129.88167,1929,1930,"166",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08DC002,"GEORGIE RIVER (WEST BRANCH) NEAR STEWART",BC,Discontinued,55.78167,-130.03333,1929,1930,"",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DC003,"GEORGIE RIVER NEAR STEWART",BC,Discontinued,55.71333,-130.08167,1929,1930,"",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DC006,"BEAR RIVER ABOVE BITTER CREEK",BC,Discontinued,56.04278,-129.92500,1967,1999,"350",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08DD001,"UNUK RIVER NEAR STEWART",BC,Discontinued,56.35139,-130.69167,1966,1998,"1480",,N,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08EB001,"SKEENA RIVER AT HAZELTON",BC,Discontinued,55.25694,-127.67556,1916,1916,"",,N,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08EB003,"SKEENA RIVER AT GLEN VOWELL",BC,Active,55.30106,-127.67256,1960,2024,"26000",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08EB004,"KISPIOX RIVER NEAR HAZELTON",BC,Active,55.43385,-127.71616,1967,2024,"1880",,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,VANCOUVER,"",N
08EB005,"SKEENA RIVER ABOVE BABINE RIVER",BC,Active,55.71708,-127.68672,1970,2024,"12400",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08EB006,"COMPASS CREEK NEAR KISPIOX",BC,Discontinued,55.45833,-127.85250,1999,2014,"19.1",,N,Flow and Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08EB007,"KITWANGA RIVER NEAR KITWANGA",BC,Active,55.11640,-128.05392,2021,2024,"",,N,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08EC001,"BABINE RIVER AT BABINE",BC,Active,55.32253,-126.62983,1944,2024,"6350",,N,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08EC002,"FULTON RIVER AT THE MOUTH",BC,Discontinued,54.81389,-126.17083,1965,1970,"1400",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"OCEAN SCIENCE AND SURVEYS (DFO) (CANADA)",Y
08EC003,"BABINE LAKE AT TOPLEY LANDING",BC,Active,54.82231,-126.15392,1967,2024,"",,N,Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08EC004,"PINKUT CREEK NEAR TINTAGEL",BC,Active,54.40544,-125.42982,1961,2024,"808",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08EC005,"FULTON RIVER AT FULTON LAKE NARROWS",BC,Discontinued,54.80694,-126.30000,1962,1963,"1340",,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"BRITISH COLUMBIA HYDRO AND POWER AUTHORITY",Y
08EC006,"CHAPMAN LAKE NEAR SMITHERS",BC,Discontinued,54.92500,-126.67500,1967,1970,"",,N,Level,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"OCEAN SCIENCE AND SURVEYS (DFO) (CANADA)",Y
08EC007,"FULTON LAKE NEAR SMITHERS",BC,Discontinued,54.80417,-126.21111,1967,1973,"",,R,Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,VANCOUVER,"OCEAN SCIENCE AND SURVEYS (DFO) (CANADA)",Y
